ignorestatus,old_url,title,summary,body,publication_type,policy_1,organisation,ignoredate,publication_date,urn,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title,attachment_9_url,attachment_9_title
new,http://www.dft.gov.uk/foi/dsa-ia003971,Statistics about practical car tests and ADIs,,Statistics about practical car tests and ADIs,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0039712,http://assets.dft.gov.uk/foi/dsa-ia0039712/dsa-ia0039712a.pdf,"Questions and answers about the number of practical tests and ADIs registered (PDF, 23KB)",http://assets.dft.gov.uk/foi/dsa-ia0039712/dsa-ia0039712b.pdf,"Section 21 exemption (PDF, 11KB)",http://assets.dft.gov.uk/foi/dsa-ia0039712/dsa-ia0039712c.pdf,"Copies of previous FOI responses(PDF, 22KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003981,"Practical car tests taken at Trowbridge, Westbury, Chippenham and Swindon",,"Practical car tests taken at Trowbridge, Westbury, Chippenham and Swindon",foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0039812,http://assets.dft.gov.uk/foi/dsa-ia0039812/dsa-ia0039812a.pdf,"Questions and answers about the number of practical tests (PDF, 16KB)",http://assets.dft.gov.uk/foi/dsa-ia0039812/dsa-ia0039812b.xls,"Table showing the number of tests(Excel, 45KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004011,The number of LGV category C and C+E conducted and passed since 2004/05,,The number of Large Goods Vehicle (LGV) category C and C+E conducted and passed since 2004/05 by test centre,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0040112,http://assets.dft.gov.uk/foi/dsa-ia0040112/dsa-ia0040112a.pdf,"Questions and answers about LGV tests (PDF, 11KB)",http://assets.dft.gov.uk/foi/dsa-ia0040112/dsa-ia0040112b.xls,"Table showing the number of tests (Excel, 76KB)",http://assets.dft.gov.uk/foi/dsa-ia0040112/dsa-ia0040112c.pdf,"Section 36 exemption and public interest test (PDF, 18KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004131,Attempts to pass practical car tests,,Attempts to pass practical car tests,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0041312,http://assets.dft.gov.uk/foi/dsa-ia0041312/dsa-ia0041312a.pdf,"Questions and answers about the number of attempts (PDF, 9KB)",http://assets.dft.gov.uk/foi/dsa-ia0041312/dsa-ia0041312b.pdf,"Section 21 exemption (PDF, 12)",http://assets.dft.gov.uk/foi/dsa-ia0041312/dsa-ia0041312c.pdf,"Table showing the number of attempts (PDF, 8KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004211,Test Fee Refund Policy,,Test Fee Refund Policy,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0042112,http://assets.dft.gov.uk/foi/dsa-ia0042112/dsa-ia0042112a.pdf,"Question and answers about the refund policy (PDF, 17KB)",http://assets.dft.gov.uk/foi/dsa-ia0042112/dsa-ia0042112b.pdf,"Section 21 exemption (PDF, 11KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004271,'Cheating' cases for theory and practical tests,,'Cheating' cases for theory and practical tests,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0042712,http://assets.dft.gov.uk/foi/dsa-ia0042712/dsa-ia0042712a.pdf,"Questions and answers about suspected candidates (PDF, 14KB)",http://assets.dft.gov.uk/foi/dsa-ia0042712/dsa-ia0042712b.pdf,"Section 12 exemption (PDF, 11KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004291,The Gender and Postcode of Candidates Taking Their Theory Test More Than 10 Times in Leeds,,The Gender and Postcode of Candidates Taking Their Theory Test More Than 10 Times in Leeds,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0042912,http://assets.dft.gov.uk/foi/dsa-ia0042912/dsa-ia0042912a.pdf,"Questions and answers about candidates taking their test (PDF, 20KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004301,Approved driving instructor statistics and statistics about the number of practical driving tests,,Approved driving instructors statistics and statistics about the number of practical driving tests,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0043012,http://assets.dft.gov.uk/foi/dsa-ia0043012/dsa-ia0043012a.pdf,"Questions and answers about ADIs and candidates taking tests (PDF, 13KB)",http://assets.dft.gov.uk/foi/dsa-ia0043012/dsa-ia0043012b.pdf,"Section 21 exemption (PDF, 8KB)",http://assets.dft.gov.uk/foi/dsa-ia0043012/dsa-ia0043012c.pdf,"Section 40 exemption (PDF, 20KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004331,Candidates taking their theory and practical car and motorcycle tests,,Unique number of candidates who took their car and motorcycle theory and practical tests in 2011/12 and the number of first attempt passes,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0043312,http://assets.dft.gov.uk/foi/dsa-ia0043312/dsa-ia0043312a.pdf,"Questions and answers about the practical and theory tests (PDF, 16KB)",http://assets.dft.gov.uk/foi/dsa-ia0043312/dsa-ia0043312b.pdf,"Section 21 exemption (PDF, 8KB)",http://assets.dft.gov.uk/foi/dsa-ia0043312/dsa-ia0043312c.pdf,"Section 12 exemption (PDF, 8KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004361,Hazard perception part of the theory test,,Hazard perception part of the theory test,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0043612,http://assets.dft.gov.uk/foi/dsa-ia0043612/dsa-ia0043612a.pdf,"Questions and answers about the hazard perception test (PDF, 13KB)",http://assets.dft.gov.uk/foi/dsa-ia0043612/dsa-ia0043612b.pdf,"Section 21 exemption (PDF, 8KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004381,Consecutive ADI check test grade 6,,Consecutive ADI check test grade 6,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0043812,http://assets.dft.gov.uk/foi/dsa-ia0043812/dsa-ia0043812a.pdf,"ADI grade 6 (PDF, 11KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004481,Car Practical and Theory Impersonation Cases,,Car Practical and Theory Impersonation Cases,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0044812,http://assets.dft.gov.uk/foi/dsa-ia0044812/dsa-ia0044812a.pdf,"Questions and answers about the number of impersonation cases (PDF, 11KB)",http://assets.dft.gov.uk/foi/dsa-ia0044812/dsa-ia0044812b.pdf,"Section 30 exemption (PDF, 17KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004511,National and Dundee car test statistics,,National and Dundee car test statistics including attempts,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0045112,http://assets.dft.gov.uk/foi/dsa-ia0045112/dsa-ia0045112a.pdf,"Questions and answers about theory and practical tests and attempts (PDF, 19KB)",http://assets.dft.gov.uk/foi/dsa-ia0045112/dsa-ia0045112b.pdf,"Section 21 exemption (PDF, 8KB)",http://assets.dft.gov.uk/foi/dsa-ia0045112/dsa-ia0045112c.pdf,"National practial test attempts table (PDF, 7KB)",http://assets.dft.gov.uk/foi/dsa-ia0045112/dsa-ia0045112d.pdf,"Dundee practical test attempt table (PDF, 7KB)",http://assets.dft.gov.uk/foi/dsa-ia0045112/dsa-ia0045112e.pdf,"National theory test pass and attempt table (PDF, 7KB)",http://assets.dft.gov.uk/foi/dsa-ia0045112/dsa-ia0045112f.pdf,"Dundee theory test pass and attempt table (PDF, 8KB)",,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004531,DSA approved driving instructors (ADIs) in London,,DSA approved driving instructors (ADIs) in London,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0045312,http://assets.dft.gov.uk/foi/dsa-ia0045312/dsa-ia0045312a.pdf,"Request for a list of ADIs (PDF, 12KB)",http://assets.dft.gov.uk/foi/dsa-ia0045312/dsa-ia0045312b.pdf,"Section 21 exemption (PDF, 7KB)",http://assets.dft.gov.uk/foi/dsa-ia0045312/dsa-ia0045312c.pdf,"Section 40 exemption (PDF, 20KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004551,Guidance on the Motorcycle Module 1 Test,,Guidance on the Motorcycle Module 1 Test,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0045512,http://assets.dft.gov.uk/foi/dsa-ia0045512/dsa-ia0045512a.pdf,"Questions and answers about the guidance issued (PDF, 13KB)",http://assets.dft.gov.uk/foi/dsa-ia0045512/dsa-ia0045512b.pdf,"Section 21 exemption (PDF, 7KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004561,Paper work about the introduction of the existing trainer booking system,,Paper work about the introduction of the existing trainer booking system,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0045612,http://assets.dft.gov.uk/foi/dsa-ia0045612/dsa-ia0045612a.pdf,"Question about the trainer booking system (PDF, 12KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004571,Practical driving test statistics at Hornchurch and Brentwood including attempts and impersonations,,Practical driving test statistics at Hornchurch and Brentwood including attempts and impersonations,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0045712,http://assets.dft.gov.uk/foi/dsa-ia0045712/dsa-ia0045712a.pdf,"Questions and answers about Hornchurch and Brentwood test centres (PDF, 18KB)",http://assets.dft.gov.uk/foi/dsa-ia0045712/dsa-ia0045712b.pdf,"Section 12 exemption (PDF, 8KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004581,The number of car practical driving tests which involved a 'walkback',,"The total number of category B practical driving tests resulting in a 'walk back' to the test centre by the examiner, annually, for the last five years",foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0045812,http://assets.dft.gov.uk/foi/dsa-ia0045812/dsa-ia0045812a.pdf,"Questions and answers about the number of ‘walkbacks’ (PDF, 14KB)",http://assets.dft.gov.uk/foi/dsa-ia0045812/dsa-ia0045812b.pdf,"Section 12 exemption (PDF, 8KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004591,The number of trainee licences issued to potential driving instructors,,The number of trainee licences issued to potential driving instructors in 2011 and up to June 2012,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0045912,http://assets.dft.gov.uk/foi/dsa-ia0045912/dsa-ia0045912a.pdf,"Questions and answers about the number of licences issued (PDF, 14KB)",http://assets.dft.gov.uk/foi/dsa-ia0045912/dsa-ia0045912b.pdf,"Section 44 exemption (PDF, 8KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004601,A breakdown of the fleet driver trainer badge fee,,A breakdown of the fleet driver trainer badge fee,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0046012,http://assets.dft.gov.uk/foi/dsa-ia0046012/dsa-ia0046012a.pdf,"Question and answer about the fleet driver trainer badge fee (PDF, 16KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004671,The car theory test pass rate in 2011/12,,What was the car theory test pass rate in 2011/12,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0046712,http://assets.dft.gov.uk/foi/dsa-ia0046712/dsa-ia0046712a.pdf,"The car theory pass rate in 2011/12 (PDF, 11KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia0047212,Filming of driving tests and anonomised driving examiner pass rates,,Filming of driving tests and anonomised driving examiner pass rates,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0047212,http://assets.dft.gov.uk/foi/dsa-ia0047212/dsa-ia047212a.pdf,"Questions and answers about the filming of tests and examiner pass rates (PDF, 19KB)",http://assets.dft.gov.uk/foi/dsa-ia0047212/dsa-ia047212b.pdf,"Justification for DSAs test filming policy (PDF, 19KB)",http://assets.dft.gov.uk/foi/dsa-ia0047212/dsa-ia047212c.pdf,"Table showing anonomised examiner pass rates (PDF, 19KB)",http://assets.dft.gov.uk/foi/dsa-ia0047212/dsa-ia047212d.pdf,"Section 36 exemption and public interest test (PDF, 19KB)",,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004771,The number of pass plus certificates issued where the ADI has a NN postcode,,The number of Pass Plus certificates issued in each financial year from 2007/8 to 2011/12 to where their (ADI) has a Northampton postcode,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0047712,http://assets.dft.gov.uk/foi/dsa-ia0047712/dsa-ia0047712a.pdf,"The number of pass plus certificates issed (PDF, 17KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004831,"ADI part 1, 2 and 3 pass rates for January to June 2012",,"Could you please supply the approved driving instructor part one, two and three pass rates for January to June 2012 inclusive?",foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0048312,http://assets.dft.gov.uk/foi/dsa-ia0048312/dsa-ia0048612a.pdf,"The ADI test pass rates (PDF, 17KB)",http://assets.dft.gov.uk/foi/dsa-ia0048312/dsa-ia0048612b.pdf,"Section 44 exemption (PDF, 17KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia0048612,Top ten deliverers of Driver CPC training,,The names of 'top ten' deliverers of Driver Certificate of Professional Competence (CPC) hours and the number of hours delivered.,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0048612,http://assets.dft.gov.uk/foi/dsa-ia0048612/dsa-ia0048612a.pdf,"Questions and answers about delivery of Driver CPC (PDF, 19KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004951,Pass and fail statistics and complaints by named examiner,,The pass and fail rates and the number of complaints made against my examiner and other examiners,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0049512,http://assets.dft.gov.uk/foi/dsa-ia0049512/dsa-ia0049512a.pdf,"Questions and answers about examiner pass rates and complaints (PDF, 17KB)",http://assets.dft.gov.uk/foi/dsa-ia0049512/dsa-ia0049512b.pdf,"section 36 exemption and public interest test (PDF, 18KB)",http://assets.dft.gov.uk/foi/dsa-ia0049512/dsa-ia0049512c.pdf,"Section 40 exemption (PDF, 20KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004961,Training and monitoring of ADI examiners,,Training and monitoring of ADI examiners,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0049612,http://assets.dft.gov.uk/foi/dsa-ia0049612/dsa-ia0049612a.pdf,"Questions and answers about  (PDF, 17KB)",http://assets.dft.gov.uk/foi/dsa-ia0049612/dsa-ia0049612b.pdf,"Section 21 exemption (PDF, 8KB)",http://assets.dft.gov.uk/foi/dsa-ia0049612/dsa-ia0049612c.pdf,"ADI training programme (PDF, 79)",http://assets.dft.gov.uk/foi/dsa-ia0049612/dsa-ia0049612d.pdf,"ADI training slides (PDF, 496KB)",http://assets.dft.gov.uk/foi/dsa-ia0049612/dsa-ia0049612e.pdf,"Section 40 exemption (PDF, 20KB)",http://assets.dft.gov.uk/foi/dsa-ia0049612/dsa-ia0049612f.pdf,"Complaints handling procedure (PDF, 13KB)",http://assets.dft.gov.uk/foi/dsa-ia0049612/dsa-ia0049612g.pdf,"Section 12 exemption (PDF, 8KB)",,,,
new,http://www.dft.gov.uk/foi/dsa-ia0050012,Large Goods Vehicle (LGV) practical testing at Bristol test centre,,"LGV tests conducted at and capacity of Bristol test centre, guidance on entering and leaving the centre and the number of incidents.",foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0050012,http://assets.dft.gov.uk/foi/dsa-ia0050012/dsa-ia0050012a.pdf,"Questions and answers about  (PDF, 15KB)",http://assets.dft.gov.uk/foi/dsa-ia0050012/dsa-ia0050012b.pdf,"Copy of the poster about road usage (PDF, 33KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia005031,Car practical test passes with zero faults Nationally and at Inverness,,The percentage pass across all attempts for zero minors (as opposed to just the first attempt) for Inverness and Nationally since 2004/05,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0050312,http://assets.dft.gov.uk/foi/dsa-ia0050312/dsa-ia0050312a.pdf,"Questions and answers about zero faults (PDF, 15KB)",http://assets.dft.gov.uk/foi/dsa-ia0050312/dsa-ia00503b.pdf,"Table showing the number of tests with zero faults (PDF, 12KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia005111,Car practical test statistics split by age since 2001,,The number of car practical tests passed since 2001/2 to 2010/11 split by age,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0051112,http://assets.dft.gov.uk/foi/dsa-ia0051112/dsa-ia0051112a.pdf,"The number of car practical tests passed since 2001/2 to 2010/11 split by age (PDF, 17KB)",http://assets.dft.gov.uk/foi/dsa-ia0051112/dsa-ia0051112b.xls,"Table showing practical test stats up to 2006/07 (Excel, 186KB)",http://assets.dft.gov.uk/foi/dsa-ia0051112/dsa-ia0051112c.pdf,"Section 21 exemption (PDF, 8KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia005121,Driving examiner recruitment campaign 2011,,Driving examiner recruitment campaign 2011,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0051212,http://assets.dft.gov.uk/foi/dsa-ia0051212/dsa-ia0051212a.pdf,"Questions and answers about the 2011 driving examiner recruitment campaign (PDF, 18KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia005171,Car practical tests with zero faults,,"How many practical car driving tests, were taken in the UK last year and what % of the tests taken were zero faults?",foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0051712,http://assets.dft.gov.uk/foi/dsa-ia0051712/dsa-ia0057112a.pdf,"Questions and answers about car tests with zero faults  (PDF, 11KB)",http://assets.dft.gov.uk/foi/dsa-ia0051712/dsa-ia0057112b.pdf,"Table showing the number of car tests with zero faults (PDF, 10KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia005211,ADI part 2 and 3 pass rates since 1990/91 and the number of ADIs registered,,ADI part 2 and 3 pass rates since 1990/91 and the number of ADIs registered,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0052112,http://assets.dft.gov.uk/foi/dsa-ia0052112/dsa-ia0052112a.pdf,"Questions and answers about ADIs and tests (PDF, 23KB)",http://assets.dft.gov.uk/foi/dsa-ia0052112/dsa-ia0052112b.pdf,"Section 21 exemption (PDF, 8KB)",http://assets.dft.gov.uk/foi/dsa-ia0052112/dsa-ia00521c.xls,"Tables showing practical tests passed (Excel, 66KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia005251,Driving test statistics based on vehicle manufacturer and model,,Driving test statistics based on vehicle manufacturer and model,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0052512,http://assets.dft.gov.uk/foi/dsa-ia0052512/dsa-ia0052512a.pdf,"Questions and answers about manufacturer and model of vehicles used on test (PDF, 11KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia005281,Drivers undertaking Driver CPC training,,Drivers undertaking Driver CPC training,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0052812,http://assets.dft.gov.uk/foi/dsa-ia0051112/dsa-ia0051112a.pdf,"Questions and answers about Driver CPC (PDF, 17KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia005291,Driving examiners and criminal records bureau (CRB) checks,,Driving examiners and criminal records bureau (CRB) checks,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0052912,http://assets.dft.gov.uk/foi/dsa-ia0052912/dsa-ia0052912a.pdf,"Questions and answers about CRB checks and examiners  (PDF, 14KB)",http://assets.dft.gov.uk/foi/dsa-ia0052912/dsa-ia0052912b.pdf,"Section 12 exemption (PDF, 8KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia005331,Driving Examiner Recruitment in Scotland,,Driving Examiner Recruitment in Scotland,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0053312,http://assets.dft.gov.uk/foi/dsa-ia0053312/dsa-ia0053312a.pdf,"Questions and answers about the 2011 driving examiner recruitment campaign (PDF, 14KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia005371,Category LGV tests in the South West,,"The number of LGV category C and C + E practical tests taken in the South West (Cornwall, Devon and Somerset) in each of the last five fincnacial years",foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0053712,http://assets.dft.gov.uk/foi/dsa-ia0053712/dsa-ia0053712a.pdf,"Questions and answers about LGV tests (PDF, 17KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia005381,Tests affected by Industrial Action,,Tests affected by Industrial Action,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0053812,http://assets.dft.gov.uk/foi/dsa-ia0053812/dsa-ia0053812a.pdf,"Questions and answers about industiral action and tests  (PDF, 17KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia0054412,Test routes used during the practical test,,Test routes used during the practical test at Crewe,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0054412,http://assets.dft.gov.uk/foi/dsa-ia0054412/dsa-ia0054412reply.pdf,"Response to request for test routes (PDF, 34KB)",http://assets.dft.gov.uk/foi/dsa-ia0054412/dsa-ia0054412a.pdf,"Section 36 exemption and public interest test (PDF, 16KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia005571,Module 1 motorcycle tests by gender age and size of bike,,Pass rates for the module 1 motorcycle test by gender age and size of the bike for the last three financial years,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0055712,http://assets.dft.gov.uk/foi/dsa-ia0055712/dsa-ia0055712a.pdf,"Questions and answers about module 1 tests conducted  (PDF, 17KB)",http://assets.dft.gov.uk/foi/dsa-ia0055712/dsa-ia0055712b.xls,"Module 1 Category A tests table (Excel, 64KB)",http://assets.dft.gov.uk/foi/dsa-ia0055712/dsa-ia0055712c.xls,"Module 1 Category A1 and A2 tests table (Excel, 64KB)",http://assets.dft.gov.uk/foi/dsa-ia0055712/dsa-ia0055712d.pdf,"Section 40 exemption (PDF, 20KB)",,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia005581,Candidates who have taken their  test more than ten times in Sheffield or Carlisle,,Candidates who have taken their  test more than ten times in Sheffield or Carlisle since 2004,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0055812,http://assets.dft.gov.uk/foi/dsa-ia0055812/dsa-ia0055812a.pdf,"Questions and answers about  (PDF, 15KB)",http://assets.dft.gov.uk/foi/dsa-ia0055812/dsa-ia0055812b.xls,"Theory test tables (PDF, 34KB)",http://assets.dft.gov.uk/foi/dsa-ia0055812/dsa-ia0055812c.xls,"Practical test tables (PDF, 55KB)",http://assets.dft.gov.uk/foi/dsa-ia0055812/dsa-ia0055812d.pdf,"Section 12 exemption (PDF, 8KB)",http://assets.dft.gov.uk/foi/dsa-ia0055812/dsa-ia0055812e.pdf,"Section 21 exemption (PDF, 8KB)",,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia054312,Driving instructor and register questions,,Questions about approved and potential driving instructors,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0054312,http://assets.dft.gov.uk/foi/dsa-ia0054312/dsa-ia0054312a.pdf,"Questions and answers about approved and potential driving instructors (PDF, 17KB)",,,,,,,,,,,,,,,,
